"","bResult","blueTop"
"968",1,"Odoamne"
"969",0,"Odoamne"
"970",1,"Huni"
"971",1,"Huni"
"972",1,"Huni"
"973",1,"Odoamne"
"974",0,"Vizicsacsi"
"975",1,"Odoamne"
"976",0,"Huni"
"977",0,"Soaz"
"978",1,"Huni"
"979",1,"Soaz"
"980",1,"Huni"
"981",0,"Werlyb"
"982",0,"Werlyb"
"983",0,"Werlyb"
"984",1,"Soaz"
"985",1,"Steve"
"986",0,"Soaz"
"987",0,"Steve"
"988",1,"Soaz"
"989",0,"Vizicsacsi"
"990",1,"Soaz"
"991",0,"Vizicsacsi"
"992",1,"Gamsu"
"993",0,"Steve"
"994",1,"Odoamne"
"995",0,"Wunderwear"
"996",0,"Cabochard"
"997",0,"Atom"
"998",0,"Wunderwear"
"999",1,"Cabochard"
"1000",1,"Odoamne"
"1001",1,"Kikis"
"1002",0,"Atom"
"1003",0,"fredy122"
"1004",1,"sOAZ"
"1005",0,"Wunderwear"
"1006",1,"Gamsu"
"1007",1,"Cabochard"
"1008",1,"Steve"
"1009",0,"Gamsu"
"1010",1,"Wunderwear"
"1011",0,"Kikis"
"1012",0,"Atom"
"1013",1,"sOAZ"
"1014",1,"Kikis"
"1015",1,"Vizicsacsi"
"1016",1,"Odoamne"
"1017",1,"sOAZ"
"1018",1,"Cabochard"
"1019",0,"Vizicsacsi"
"1020",1,"Gamsu"
"1021",0,"fredy122"
"1022",0,"Steve"
"1023",0,"Atom"
"1024",1,"Kikis"
"1025",0,"fredy122"
"1026",1,"Odoamne"
"1027",1,"Kikis"
"1028",0,"Steve"
"1029",1,"Vizicsacsi"
"1030",1,"sOAZ"
"1031",0,"fredy122"
"1032",0,"Vizicsacsi"
"1033",1,"Gamsu"
"1034",1,"sOAZ"
"1035",0,"Kikis"
"1036",0,"fredy122"
"1037",0,"sOAZ"
"1038",1,"Vizicsacsi"
"1039",0,"Odoamne"
"1040",1,"Steve"
"1041",1,"Wunderwear"
"1042",0,"Steve"
"1043",1,"fredy122"
"1044",1,"Vizicsacsi"
"1045",1,"Gamsu"
"1046",1,"Cabochard"
"1047",1,"Atom"
"1048",1,"Cabochard"
"1049",0,"sOAZ"
"1050",1,"Wunderwear"
"1051",0,"fredy122"
"1052",1,"Kikis"
"1053",0,"Atom"
"1054",1,"Odoamne"
"1055",0,"Wunderwear"
"1056",0,"Vizicsacsi"
"1057",0,"sOAZ"
"1058",0,"Atom"
"1059",1,"Vizicsacsi"
"1060",1,"Gamsu"
"1061",1,"Cabochard"
"1062",1,"Gamsu"
"1063",1,"Odoamne"
"1064",0,"Vizicsacsi"
"1065",0,"Cabochard"
"1066",0,"Steve"
"1067",1,"Kikis"
"1068",1,"Steve"
"1069",0,"Gamsu"
"1070",0,"Wunderwear"
"1071",0,"fredy122"
"1072",0,"Smittyj"
"1073",1,"Steve"
"1074",0,"Odoamne"
"1075",1,"fredy122"
"1076",0,"Wunderwear"
"1077",1,"Odoamne"
"1078",1,"Cabochard"
"1079",1,"sOAZ"
"1080",1,"Smittyj"
"1081",1,"Kikis"
"1082",0,"sOAZ"
"1083",1,"Kikis"
"1084",1,"Steve"
"1085",0,"Vizicsacsi"
"1086",1,"Gamsu"
"1087",0,"Smittyj"
"1088",1,"Wunder"
"1089",1,"Parang"
"1090",0,"Smittyj"
"1091",1,"Kikis"
"1092",1,"Odoamne"
"1093",1,"Steve"
"1094",0,"Odoamne"
"1095",0,"Parang"
"1096",1,"Wunder"
"1097",1,"Cabochard"
"1098",1,"Vizicsacsi"
"1099",0,"sOAZ"
"1100",1,"Cabochard"
"1101",1,"Gamsu"
"1102",1,"Odoamne"
"1103",0,"Smittyj"
"1104",1,"Gamsu"
"1105",0,"Vizicsacsi"
"1106",1,"Wunder"
"1107",0,"Steve"
"1108",0,"Wunder"
"1109",1,"Kikis"
"1110",1,"Odoamne"
"1111",0,"Gamsu"
"1112",1,"Steve"
"1113",1,"sOAZ"
"1114",1,"Cabochard"
"1115",1,"sOAZ"
"1116",0,"Parang"
"1117",0,"Expect"
"1118",0,"Cabochard"
"1119",1,"Parang"
"1120",1,"Smittyj"
"1121",0,"Vizicsacsi"
"1122",0,"Parang"
